"","previous_cancellations","stays_in_weekend_nights","hotel.City.Hotel","hotel.Resort.Hotel","market_segment.Aviation","market_segment.Complementary","market_segment.Corporate","market_segment.Direct","market_segment.Groups","market_segment.Offline.TA.TO","market_segment.Online.TA","deposit_type.No.Deposit","deposit_type.Non.Refund","deposit_type.Refundable","arrival_date_day_of_month","meal.BB","meal.FB","meal.HB","meal.SC","meal.Undefined","days_in_waiting_list","adults","booking_changes","adr","total_of_special_requests","is_repeated_guest","customer_type.Contract","customer_type.Group","customer_type.Transient","customer_type.Transient.Party","arrival_date_week_number","arrival_date_year","arrival_date_month.April","arrival_date_month.August","arrival_date_month.December","arrival_date_month.February","arrival_date_month.January","arrival_date_month.July","arrival_date_month.June","arrival_date_month.March","arrival_date_month.May","arrival_date_month.November","arrival_date_month.October","arrival_date_month.September","children","distribution_channel.Corporate","distribution_channel.Direct","distribution_channel.GDS","distribution_channel.TA.TO","distribution_channel.Undefined","stays_in_week_nights","company.company","company.nocompany","reserved_room_type.A","reserved_room_type.B","reserved_room_type.C","reserved_room_type.D","reserved_room_type.E","reserved_room_type.F","reserved_room_type.G","reserved_room_type.H","lead_time","required_car_parking_spaces","agent.agent","agent.noagent","previous_bookings_not_canceled","assigned_room_type.A","assigned_room_type.B","assigned_room_type.C","assigned_room_type.D","assigned_room_type.E","assigned_room_type.F","assigned_room_type.G","assigned_room_type.H","assigned_room_type.I","assigned_room_type.K","continent.Africa","continent.Americas","continent.Asia","continent.Europe","continent.Oceania","roomtype_diff","market_segment.Undefined","reserved_room_type.L","reserved_room_type.P","assigned_room_type.L","assigned_room_type.P","case_holdoutprob"
"1",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,107,0,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"not_canceled"
"2",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,145,0,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"is_canceled"
"3",0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,97.5,0,0,1,0,0,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,37,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"not_canceled"
"4",0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,97.29,1,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"not_canceled"
"5",0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2,0,98,1,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"not_canceled"
"6",0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,2,0,110.5,0,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"not_canceled"
"7",0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,2,0,82,2,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,63,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"is_canceled"
"8",0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,2,0,91.5,0,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"not_canceled"
"9",0,2,0,1,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,2,0,110.7,1,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,102,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"is_canceled"
"10",0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,2,0,73.8,2,0,0,0,1,0,27,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"is_canceled"
